sigma,N,rule,window,replicate,seed,MSE,PSNR,laplacian_variance,dct_hf_energy,selection_entropy,selection_entropy_normalized,clipping_fraction
0.02,8,maxfocus,7,64,2087442968,0.0004951578054893675,33.05256370498199,0.01147110160095259,0.000980320746327739,2.0790183063093517,0.9997964668099579,0.0
0.02,8,single,NA,65,652136261,0.0004004909592807004,33.974072832721795,0.00838848194572033,0.0007387878547204137,NA,NA,0.0
0.02,8,mean,NA,65,652136261,4.996629291980184e-05,43.013228703732125,0.0013950691092273232,0.00010736015957092204,NA,NA,0.0
0.02,8,maxfocus,3,65,652136261,0.0006521183752234126,31.85673562182208,0.016789663143214558,0.0013849626976447473,2.07923563651815,0.9999009805481142,0.0
0.02,8,maxfocus,7,65,652136261,0.0004949918201640629,33.0540197780777,0.011596249306659263,0.0009875716579918472,2.078757492372824,0.9996710418190168,0.0
0.02,8,single,NA,66,2008004485,0.0003984066658978831,33.99673403836569,0.00837649685109899,0.0007366192363488596,NA,NA,0.0
0.02,8,mean,NA,66,2008004485,4.995728394165242e-05,43.01401181210983,0.0013964628558423287,0.00010773788304572709,NA,NA,0.0
0.02,8,maxfocus,3,66,2008004485,0.0006518552568017112,31.85848827812396,0.016871210523358316,0.001388248777276961,2.0793385144023584,0.999950454352569,0.0
0.02,8,maxfocus,7,66,2008004485,0.0004971931354329311,33.03474876136948,0.011613607171481443,0.0009932243020166842,2.078990755303782,0.9997832175769222,0.0
0.02,8,single,NA,67,214532995,0.0003995443853985889,33.98434967882054,0.008370409134861975,0.0007399220529526234,NA,NA,0.0
0.02,8,mean,NA,67,214532995,4.980155183304043e-05,43.027571242678746,0.0013989710237890221,0.00010791134583711421,NA,NA,0.0
0.02,8,maxfocus,3,67,214532995,0.000651903059355757,31.85816980827882,0.016809099761587357,0.0013873477418555882,2.079328400698129,0.9999455906889235,0.0
0.02,8,maxfocus,7,67,214532995,0.0004965549266917926,33.04032704792418,0.011615140643951182,0.000989013547877475,2.0789652572076447,0.9997709555846391,0.0
0.02,8,single,NA,68,860217169,0.00040228687888813877,33.95464132279366,0.008424668591077362,0.0007402318126280363,NA,NA,0.0
0.02,8,mean,NA,68,860217169,4.986825830674569e-05,43.021757996376316,0.0013889624158596806,0.00010720231338668536,NA,NA,0.0
0.02,8,maxfocus,3,68,860217169,0.0006486968484816335,31.879582119670463,0.016761222002397047,0.0013797179385930491,2.07932936973943,0.9999460566992833,0.0
0.02,8,maxfocus,7,68,860217169,0.0004941201206456108,33.06167461213909,0.011530183496377895,0.0009845783112485934,2.07879260298801,0.9996879264558207,0.0
0.02,8,single,NA,69,1590629711,0.00039882827196428356,33.992140631916776,0.00835035572767274,0.0007353175548141912,NA,NA,0.0
0.02,8,mean,NA,69,1590629711,4.98988462257376e-05,43.019094961318906,0.0013959170085359465,0.00010759352483885744,NA,NA,0.0
0.02,8,maxfocus,3,69,1590629711,0.0006508569460353197,31.865144559396157,0.01683418195075312,0.0013846549479942603,2.079238192572884,0.9999022097506105,0.0
0.02,8,maxfocus,7,69,1590629711,0.0004982750774369487,33.02530834687849,0.011631838458724706,0.0009952002899507324,2.07897489334665,0.999775589587958,0.0
0.02,8,single,NA,70,683128220,0.0003980480323521244,34.000645185624094,0.008340748662985504,0.0007340357264248988,NA,NA,0.0
0.02,8,mean,NA,70,683128220,4.9818289059873236e-05,43.02611191785769,0.0013898435870058807,0.00010709132874807447,NA,NA,0.0
0.02,8,maxfocus,3,70,683128220,0.0006498456014777817,31.871898162669922,0.016825296803125167,0.001384701509291696,2.079327052370904,0.9999449422805898,0.0
0.02,8,maxfocus,7,70,683128220,0.0004947735198917455,33.05593551711939,0.011537834150253853,0.0009837825492129157,2.0786592838478097,0.9996238135016798,0.0
0.02,8,single,NA,71,2106130319,0.00039986702493960863,33.980844085127366,0.008336464455895302,0.0007318395565395434,NA,NA,0.0
0.02,8,mean,NA,71,2106130319,5.020826637232837e-05,42.9922477400366,0.0014074042479790556,0.00010866034923727084,NA,NA,0.0
0.02,8,maxfocus,3,71,2106130319,0.0006527168523864881,31.85275174183179,0.01687869605103494,0.0013913751888531745,2.07934118785376,0.9999517400109288,0.0
0.02,8,maxfocus,7,71,2106130319,0.0004956800570855804,33.04798553904847,0.011568660844592465,0.0009842443973403895,2.079216763289399,0.999891904443606,0.0
0.02,8,single,NA,72,1710423203,0.0003994909759082002,33.98493026506528,0.008357126757653557,0.0007382728547063451,NA,NA,0.0
0.02,8,mean,NA,72,1710423203,5.006494816742146e-05,43.00466229126379,0.0013994516297148774,0.00010810737772706942,NA,NA,0.0
0.02,8,maxfocus,3,72,1710423203,0.0006512701798917562,31.862388066792057,0.016824375989005984,0.0013882627449010294,2.0794148101287835,0.9999871448412873,0.0
0.02,8,maxfocus,7,72,1710423203,0.0004949680838553253,33.0542280400056,0.01152903771228122,0.0009847947497923588,2.0793580975994574,0.9999598718796823,0.0
0.02,8,single,NA,73,2007377661,0.000400101283015817,33.97830055954679,0.008420262793841457,0.0007418775532156796,NA,NA,0.0
0.02,8,mean,NA,73,2007377661,4.992077985756995e-05,43.01718638766461,0.0014009338611916593,0.00010856893766140639,NA,NA,0.0
0.02,8,maxfocus,3,73,2007377661,0.0006537249097965898,31.846049661873764,0.01692811460226882,0.0013944247973197825,2.079364568282507,0.9999629836204644,0.0
0.02,8,maxfocus,7,73,2007377661,0.0004949855993211544,33.05407435867105,0.011629534235775419,0.0009911744526158548,2.0790201034944644,0.9997973310733078,0.0
0.02,8,single,NA,74,2024352633,0.00039811480558820864,33.99991671032592,0.008313191953259306,0.0007328088159175389,NA,NA,0.0
0.02,8,mean,NA,74,2024352633,4.990330471980088e-05,43.018706933735885,0.0013995010325581103,0.0001082741374851495,NA,NA,0.0
0.02,8,maxfocus,3,74,2024352633,0.0006496402351604336,31.87327085110747,0.016769186274576645,0.001382891979259212,2.079355914480555,0.9999588220214107,0.0
0.02,8,maxfocus,7,74,2024352633,0.0004967034130841883,33.03902855751633,0.011605392675241815,0.0009901436735351608,2.0788862630519525,0.999732967425747,0.0
0.02,8,single,NA,75,2073099655,0.0003976962474969638,34.00448506824054,0.008298701786272948,0.0007323492261400734,NA,NA,0.0
0.02,8,mean,NA,75,2073099655,5.0091841113319834e-05,43.00233005630092,0.0013953690775821196,0.00010807130192438541,NA,NA,0.0
0.02,8,maxfocus,3,75,2073099655,0.0006521059016862472,31.856818693245557,0.016790474439787994,0.0013847931331650353,2.0792184068463806,0.9998926948274416,0.0
0.02,8,maxfocus,7,75,2073099655,0.0004953100761234547,33.051228370482235,0.01155496793054051,0.0009839969601484109,2.0785703172776246,0.9995810296251428,0.0
0.02,8,single,NA,76,1897547984,0.0003989836571919489,33.99044893127076,0.008346523839613328,0.0007351788202609335,NA,NA,0.0
0.02,8,mean,NA,76,1897547984,4.994738023286457e-05,43.014872858213444,0.0014001983848108586,0.00010795615957909346,NA,NA,0.0
0.02,8,maxfocus,3,76,1897547984,0.0006536509760795056,31.846540859634676,0.016793568205663037,0.0013917772659935974,2.0792831390740267,0.9999238244487119,0.0
0.02,8,maxfocus,7,76,1897547984,0.0004966458706009054,33.03953171151066,0.011595242987008553,0.0009889291237751205,2.078947912354365,0.9997626144733686,0.0
0.02,8,single,NA,77,1929237770,0.0004000689581110162,33.978651448071986,0.008388891844716891,0.0007391901384668252,NA,NA,0.0
0.02,8,mean,NA,77,1929237770,5.047430017142451e-05,42.96929693856252,0.0014101802395249396,0.00010899153901550721,NA,NA,0.0
0.02,8,maxfocus,3,77,1929237770,0.0006531024884370777,31.850186614965814,0.016788895299228713,0.0013837391409887193,2.0793652216839806,0.999963297840153,0.0
0.02,8,maxfocus,7,77,1929237770,0.0004983047181220546,33.025050007585584,0.011589803400440706,0.0009887289314485582,2.0789293013507684,0.9997536644725037,0.0
0.02,8,single,NA,78,1232069395,0.0003992012775345168,33.988080775417224,0.008324577904067081,0.000733692015933745,NA,NA,0.0
0.02,8,mean,NA,78,1232069395,4.998601391600896e-05,43.011514942396815,0.0013980929647437997,0.00010809490376370955,NA,NA,0.0
0.02,8,maxfocus,3,78,1232069395,0.0006515843793185608,31.86029335746385,0.016831008286414633,0.001385806900814077,2.0793263256256997,0.9999445927900223,0.0
0.02,8,maxfocus,7,78,1232069395,0.0004997137715207084,33.01278681750055,0.011682634400707022,0.0009988804203492972,2.078734996043865,0.9996602233716078,0.0
0.02,8,single,NA,79,148504518,0.00040072310000760963,33.971556215885784,0.008343298277626974,0.0007343125232169898,NA,NA,0.0
0.02,8,mean,NA,79,148504518,4.9915572740026926e-05,43.01763941351317,0.0013944735797190293,0.00010739037045351627,NA,NA,0.0
