sigma,N,rule,window,MSE_mean,MSE_std,MSE_median,MSE_P05,MSE_P95,PSNR_mean,PSNR_std,PSNR_median,PSNR_P05,PSNR_P95,laplacian_variance_mean,laplacian_variance_std,laplacian_variance_median,laplacian_variance_P05,laplacian_variance_P95,dct_hf_energy_mean,dct_hf_energy_std,dct_hf_energy_median,dct_hf_energy_P05,dct_hf_energy_P95,selection_entropy_mean,selection_entropy_std,selection_entropy_median,selection_entropy_P05,selection_entropy_P95,selection_entropy_normalized_mean,selection_entropy_normalized_std,selection_entropy_normalized_median,selection_entropy_normalized_P05,selection_entropy_normalized_P95,clipping_fraction_mean,clipping_fraction_std,clipping_fraction_median,clipping_fraction_P05,clipping_fraction_P95
0.03,1,maxfocus,3.0,0.0008997921815529988,3.669904224871931e-06,0.0008996734686987,0.00089407679394391,0.00090647227355968,30.45861360291549,0.01771076611021538,30.459150869060977,30.426454753171633,30.486251774037033,0.01832403825122314,8.645690250877857e-05,0.01832681095045785,0.018174268193697548,0.018472055695683342,0.001635003401902356,7.862853219598577e-06,0.0016351798704973,0.001620444505740045,0.001647850878300375,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-07,8.794080883518108e-07,0.0,0.0,0.0
0.03,2,maxfocus,3.0,0.0010901488298690088,3.351215114989139e-06,0.0010903909718441,0.00108422304690537,0.00109572046834528,29.625162392111005,0.013353824948663478,29.62417755509395,29.60300225610443,29.64881365330386,0.024786926699580537,9.038984495055387e-05,0.02478807544867575,0.024637807357881285,0.024921922358902445,0.002157348395118314,7.998202482456915e-06,0.0021573342510116,0.002145330452312905,0.00217016068456265,0.6931233774747618,3.124180518433796e-05,0.6931368289617224,0.6930512647587246,0.6931466965442422,0.9999656594070475,4.5072397407874456e-05,0.9999850658005784,0.999861622749236,0.9999993017129455,4.0625000000000003e-07,1.0562427155925972e-06,0.0,0.0,3.125e-06
0.03,4,maxfocus,3.0,0.001278977359444655,3.600924085740523e-06,0.0012792073725234501,0.0012731485404049601,0.00128445456480399,28.93138847621339,0.012228344999279805,28.930590467163785,28.912812540689934,28.95120923599347,0.031051313883288204,0.00010162300639415444,0.031063705573051402,0.030867059251154832,0.031197811398029147,0.00262830625212615,8.78469417105294e-06,0.0026279705064638,0.0026141170915736952,0.002640684431268055,1.3862219619700207,6.007732142625097e-05,1.3862375927193908,1.3861204275591252,1.3862837859518131,0.9999477750527592,4.333662684578736e-05,0.9999590502550599,0.9998745334572199,0.999992371628729,3.7499999999999996e-07,6.706792124858247e-07,0.0,0.0,1.5625e-06
0.03,8,maxfocus,3.0,0.001466799134229331,3.90468331719801e-06,0.0014665495023268998,0.0014608603380662601,0.001473707295417695,28.336308778002778,0.011557292523469438,28.33703273156771,28.31588766902748,28.353913054317125,0.037252703249426145,0.0001383459291986568,0.03724391581802525,0.03702013785801646,0.03745742329168203,0.0030810779942932326,1.0330717406472504e-05,0.0030816960959245496,0.003063255936332965,0.003095423127210795,2.0792921080381306,7.929614767130378e-05,2.079313945239768,2.0791419791917956,2.079401857742613,0.9999281376087232,3.813338633566311e-05,0.999938639082893,0.9998559408946893,0.9999809160601889,3.125e-07,4.5783805884975666e-07,0.0,0.0,8.203124999999978e-07
0.03,16,maxfocus,3.0,0.001658216161377022,4.366245697643049e-06,0.0016581868221869,0.001651525132507245,0.0016646836397593702,27.803603472280585,0.011437281944300772,27.803665406380276,27.786682889767402,27.821148129515443,0.043492965438452866,0.00014995167002272676,0.043478735492416,0.043270031506282086,0.04371867397962459,0.0035340519326011437,1.2605255716469833e-05,0.00353490070053835,0.003515611632040685,0.003552259944208635,2.772334719192669,8.31537012887402e-05,2.7723465519958865,2.7721862789623195,2.772455110570667,0.9999083877658899,2.999135812020653e-05,0.9999126555475206,0.9998548492698417,0.9999518097768912,3.124999999999999e-07,3.8063293538857784e-07,3.90625e-07,0.0,8.007812499999989e-07
0.03,32,maxfocus,3.0,0.001856624504796855,4.807749828359132e-06,0.00185664231482745,0.0018483769521446649,0.00186464245490274,27.312773631505607,0.011245169836859747,27.312717564405496,27.294044327420522,27.33209455455009,0.0498348769082094,0.0001854556700457568,0.0498417217582425,0.04953455326526091,0.050140121522655595,0.004000603694963557,1.2957951349426805e-05,0.0040006930680892006,0.003980304946347505,0.004021141182496681,3.465234986774428,0.00012815147586021824,3.4652526463510496,3.4650050043138574,3.4654311973921454,0.9998554661868801,3.6976699741225195e-05,0.9998605616636034,0.9997891072758087,0.9999120806039101,3.3984375000000005e-07,2.583666946780801e-07,3.90625e-07,0.0,7.8125e-07
0.03,64,maxfocus,3.0,0.002065196269838185,5.439915084399838e-06,0.00206643840914875,0.002055146319170005,0.00207313019500448,26.850401609490074,0.011447228867909347,26.847775355918976,26.833734228487565,26.871572548245496,0.056299270489167046,0.00018511874491160854,0.056283258577225354,0.05600921058199756,0.056615584052951716,0.0044864272697364045,1.3138895354815747e-05,0.00448754882220885,0.004463963874296329,0.004506348448731575,4.158005350158552,0.00014082716385065375,4.1580143572920765,4.157760155587959,4.158208290959988,0.9997889497772533,3.3861775151622136e-05,0.999791115535065,0.9997299929454124,0.9998377467252244,3.056640625e-07,1.6694144515080613e-07,2.9296875e-07,9.765625e-08,6.8359375e-07
0.03,128,maxfocus,3.0,0.002282921367830414,5.122228360434825e-06,0.0022831607100050498,0.002274756342952785,0.002291701379348385,26.415101286601825,0.009740772246341413,26.414635180764826,26.398419745105073,26.430651153247595,0.06288526812659405,0.00021447435358740207,0.0628828766656494,0.06260078162633116,0.06326955228069889,0.004988656905273296,1.438918352840596e-05,0.00498825463099015,0.00496767870527699,0.005008877666650315,4.850446550112161,0.00020546177171203785,4.850451622421543,4.850140226499259,4.850738342235922,0.9996735977062563,4.234552559160714e-05,0.9996746431056267,0.9996104646266507,0.9997337358562451,2.9248046875e-07,1.2366189386514042e-07,2.9296875e-07,9.765625e-08,4.907226562499999e-07
0.04,1,maxfocus,3.0,0.001599630226326461,5.448361949395765e-06,0.0015993088823548001,0.00159159569452306,0.00160801553068408,27.959828911157842,0.014788091079801976,27.96067650886249,27.93709761133168,27.98167244381662,0.032251475018154695,0.00013816352232615586,0.032249527912156795,0.03202606774185168,0.03246883724618585,0.002884858276854076,1.2517090778108531e-05,0.0028835359360184004,0.00286574054285044,0.00290520593550228,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.937500000000001e-06,6.242103597604924e-06,6.25e-06,0.0,1.875e-05
0.04,2,maxfocus,3.0,0.0019388118403955207,5.071430595566312e-06,0.0019386248249724,0.001932030743799115,0.001946375024174405,27.124658082781966,0.011364111901791913,27.125062302739984,27.107734965644216,27.139859807539704,0.04370307533359283,0.0001537083642869515,0.043703016936142744,0.04345179211132042,0.04395968287019025,0.003807770328504405,1.2611825360643043e-05,0.00380870356094065,0.00378752168663268,0.003824840177458955,0.6931264853274725,2.7257073369028738e-05,0.6931361260659471,0.6930684193944932,0.6931470810872857,0.9999701430907413,3.932364457864726e-05,0.9999840517363293,0.9998863716571877,0.9999998564912873,6.6875e-06,4.508252113758958e-06,6.25e-06,0.0,1.5625e-05
