sigma,N,rule,window,MSE_mean,MSE_P05,MSE_P95,PSNR_mean,PSNR_P05,PSNR_P95,laplacian_variance_mean,laplacian_variance_P05,laplacian_variance_P95,dct_hf_energy_mean,dct_hf_energy_P05,dct_hf_energy_P95,selection_entropy_normalized_mean,selection_entropy_normalized_P05,selection_entropy_normalized_P95
0.04,1,maxfocus,3.0,0.001599630226326461,0.00159159569452306,0.00160801553068408,27.959828911157842,27.93709761133168,27.98167244381662,0.032251475018154695,0.03202606774185168,0.03246883724618585,0.002884858276854076,0.00286574054285044,0.00290520593550228,0.0,0.0,0.0
0.04,1,maxfocus,7.0,0.001599630226326461,0.00159159569452306,0.00160801553068408,27.959828911157842,27.93709761133168,27.98167244381662,0.032251475018154695,0.03202606774185168,0.03246883724618585,0.002884858276854076,0.00286574054285044,0.00290520593550228,0.0,0.0,0.0
0.04,1,mean,NA,0.001599630226326461,0.00159159569452306,0.00160801553068408,27.959828911157842,27.93709761133168,27.98167244381662,0.032251475018154695,0.03202606774185168,0.03246883724618585,0.002884858276854076,0.00286574054285044,0.00290520593550228,,,
0.04,1,single,NA,0.001599630226326461,0.00159159569452306,0.00160801553068408,27.959828911157842,27.93709761133168,27.98167244381662,0.032251475018154695,0.03202606774185168,0.03246883724618585,0.002884858276854076,0.00286574054285044,0.00290520593550228,,,
0.04,4,maxfocus,3.0,0.002274883027897431,0.00226474604664808,0.0022847964702761552,26.430425102630398,26.41152487258154,26.449804907275347,0.05484817276201997,0.0545749276119101,0.055202885655891605,0.00464241462419327,0.0046180206956241195,0.004666997074877315,0.9999500356119672,0.9998734014001778,0.9999920841869387
0.04,4,maxfocus,7.0,0.0018729388440900119,0.0018629559469331952,0.00188219653871657,27.27478776596598,27.253350431425673,27.29797414690263,0.04140460782800717,0.0411432334009105,0.04168666956636218,0.003599953200629231,0.003574018154575495,0.0036232293349527604,0.9997753505668154,0.999440722999228,0.9999781544524419
0.04,4,mean,NA,0.00040016916054909596,0.00039772979977322,0.00040254464385650995,33.97759460423397,33.951859499125284,34.00411870219097,0.008374732471986135,0.008318446321377035,0.00843291414113205,0.0007381227904186559,0.0007332337633675851,0.000743491611346225,,,
0.04,4,single,NA,0.0016000378087244196,0.0015915770272219652,0.00161129619295394,27.958731178661125,27.928246215428874,27.98172338094169,0.032278840866514516,0.032031968694649644,0.03253233747684754,0.0028866492405177787,0.0028662041586410753,0.002909703518575235,,,
0.04,16,maxfocus,3.0,0.0029530111904726725,0.002941003106851335,0.002964330829852735,25.297365018024422,25.280733292365134,25.315045167864227,0.07692900148823636,0.07647559560022106,0.07739656184186428,0.0062418446126443995,0.00619997446101801,0.00627466221458703,0.9999079374537194,0.9998446893428465,0.9999589210485187
0.04,16,maxfocus,7.0,0.0020939951539316972,0.002083255776899785,0.00210666115468337,26.790268018630105,26.76405312885138,26.812574053841875,0.048239531138160686,0.04790069553136636,0.048611751663083375,0.004121873791106744,0.004091275611522725,0.00415392835148202,0.9995940352584956,0.9992951011548095,0.9998290178936726
0.04,16,mean,NA,9.998720383494288e-05,9.945080227244022e-05,0.000100635804011405,40.000584517664535,39.97247479340525,40.02391711071912,0.002394127215195185,0.002377659611628795,0.0024088277021766247,0.00019790809360287803,0.00019655117796628,0.00019929891835668002,,,
0.04,16,single,NA,0.0016000502746114453,0.0015907190788912251,0.00161050221101652,27.958690939729063,27.93038676701185,27.984065117601407,0.032290066029796144,0.03209240726610347,0.03255601692722173,0.0028893419060648236,0.00286985631347809,0.00291056200315253,,,
0.04,64,maxfocus,3.0,0.0036717142198696403,0.00365661083695069,0.0036843918381005247,24.35132501913301,24.336341884796248,24.369212579851396,0.09954243228621067,0.09887750277897724,0.1001094191785541,0.007906738211549162,0.007868629965059167,0.007940200897534935,0.9997848241249712,0.9997374749232159,0.9998295208850714
0.04,64,maxfocus,7.0,0.002283629323849776,0.002274003639397275,0.0022944247211944,26.41376577446151,26.393261909058875,26.432088448689342,0.053903527538009796,0.05355833046383492,0.05428394264103675,0.004550429353942016,0.004527099667876045,0.004578539255169915,0.9991915101104447,0.9989603514860699,0.9994047870239708
0.04,64,mean,NA,2.4987186560740997e-05,2.4864004014769675e-05,2.5125000752011955e-05,46.02284772858856,45.998939167865466,46.04428933185333,0.000900195050079111,0.00089524515383714,0.0009052139948982449,6.28892252949223e-05,6.236400839320638e-05,6.338708831528207e-05,,,
0.04,64,single,NA,0.0016005653226399707,0.001591098703587815,0.00160906450140612,27.95729701191038,27.93426546305245,27.983028781370578,0.032295622019352106,0.03204287315318556,0.03248916629981736,0.0028889254051572342,0.0028707220401173452,0.002907002642461595,,,
