condition,window,landmark_delta,actual_delta,sampling_mse,fusion_mse,total_mse,sampling_psnr,fusion_psnr,total_psnr,sampling_ssim,fusion_ssim,total_ssim,focus_index_agreement,axial_error_kF_mean,axial_error_kF_median,axial_error_kF_p95,oracle_axial_error_mean,N_eff,R_Z,adjacent_overlap_mean,K
P_LF,7,0.25,0.25,0.0001240579270488,2.684013161071866e-05,0.0001671191143118,87.19455840840176,93.84295719800583,85.90054235538048,0.9999886522228848,0.99999826498631,0.9999839993148708,0.9307585841049384,0.1439548654547997,0.0499999999999998,0.128947377204895,0.0602114323449516,15.872127200920657,0.5190264484569498,0.5352460249712294,33
P_LF,7,0.5,0.5,0.000203610309657,2.904175075499037e-05,0.0002440655101183,85.04280596467399,93.50057567010904,84.25573949019635,0.9999826498508728,0.99999773098755,0.9999782363999729,0.8216203703703704,0.3118757855967193,0.2000000000000001,0.7000000000000002,0.1738415604378203,11.077379575431422,0.3483894367393281,0.3701637765355361,17
P_LF,7,1.0,1.0,0.000326234179707,2.822509186067127e-05,0.0003481828636529,82.99550900544673,93.6244499682475,82.71272968021353,0.999970897676706,0.999997974653884,0.9999685646470914,0.8979624807098765,0.3403224577747535,0.2000000000000001,0.7999999999999998,0.2171453523130468,7.341217062429771,0.1843092152855809,0.2073478671962786,9
P_LF,7,2.0,2.0,0.0011549252542817,7.921438625095942e-06,0.0011456212334809,77.50526482876465,99.14276299202282,77.54039306412012,0.9998680903886756,0.9999993228648226,0.99986911634806,0.9580753279320988,0.7794747665620879,0.7999999999999998,0.9197862625122072,0.6952242473615511,4.033459023664928,0.1933081952670143,0.2416352440837678,5
P_LF,15,0.1,0.1,8.996064011427299e-05,5.140391470908122e-05,0.0001966438996703,88.5902782387413,91.02084166545536,85.19399882690648,0.9999909036308832,0.9999958788459696,0.9999813376607676,0.927686149691358,0.1033491558318858,0.0,0.0677082061767573,0.0107030703195439,10.99908144265303,0.8642088710783576,0.8750114819668372,81
P_LF,15,0.25,0.25,0.0001240579270488,4.438789020446724e-05,0.0002079038705159,87.19455840840176,91.65815857751376,84.95217786264291,0.9999886522228848,0.9999965157497884,0.9999803552292088,0.9316811342592592,0.1756006163794594,0.0499999999999998,0.128947377204895,0.0602114323449516,11.582714493294564,0.6490086517183465,0.669290172084545,33
P_LF,15,0.5,0.5,0.000203610309657,4.09487879040928e-05,0.0002658774844533,85.04280596467399,92.00839309822874,83.88398799736764,0.9999826498508728,0.999996691410314,0.9999752870651014,0.9443431712962964,0.2869227455662685,0.2000000000000001,0.2654119968414307,0.1738415604378203,9.038597505487235,0.4683177937948684,0.4975876559070477,17
P_LF,15,1.0,1.0,0.000326234179707,2.014068020150901e-05,0.0003540009796401,82.99550900544673,95.09006227183896,82.64075897001065,0.999970897676706,0.999998245718207,0.9999675258115208,0.9544709683641976,0.3246905088195811,0.2000000000000001,0.4812929558753965,0.2171453523130468,6.853046093591329,0.2385504340454078,0.2683692383010839,9
P_LF,15,2.0,2.0,0.0011549252542817,7.388732943410881e-06,0.0011489269988299,77.50526482876465,99.44510391060936,77.52787925750152,0.9998680903886756,0.999999311075764,0.9998686981026808,0.967869888117284,0.7791904933457954,0.7999999999999998,0.8578335666656469,0.6952242473615511,4.022222441267569,0.1955555117464861,0.2444443896831077,5
P_COARSE,3,0.1,0.1,9.11228652488548e-05,1.4266489168499108e-05,0.0001218652121282,88.53452993714743,96.58763249865586,87.27200612074144,0.9999915461060148,0.9999992559118748,0.9999889088178469,0.95620418595679,0.0454793321783136,0.0,0.0474733352661131,0.0107030703195439,25.001224903983417,0.6913429024199578,0.6999846887002072,81
P_COARSE,3,0.25,0.25,0.0001337586270419,1.3749457212399814e-05,0.0001513884401641,86.867585585419,96.74794807015266,86.32987646632346,0.999988615406474,0.9999992720793472,0.9999868558120496,0.895333236882716,0.1177860239116566,0.0499999999999998,0.179021143913269,0.0602114323449516,20.69890908104241,0.3727603308775027,0.3844090912174246,33
P_COARSE,3,0.5,0.5,0.0002702408413023,1.5791138487563036e-05,0.0002846280049663,83.81329376611714,96.14666918570684,83.58802732147046,0.9999772460738507,0.9999991581172752,0.9999752486912794,0.8316068672839506,0.2388722018085971,0.2000000000000001,0.2999999999999998,0.1738415604378203,12.580011355228972,0.2599993320453545,0.2762492902981893,17
