condition,window,landmark_delta,actual_delta,plateau_mse,plateau_axial_error_mean,ramp_mse,ramp_axial_error_mean,hard_step_mse,hard_step_axial_error_mean,protrusion_mse,protrusion_axial_error_mean
H_MIXED,7,0.1,0.1,7.498016980617099e-05,0.1961951580687091,0.0002182800580003,0.0954558054564586,0.0002884512056779,1.4074655908053038,0.004505551029488,0.0074394023048935
H_MIXED,7,0.25,0.25,6.301451139882283e-05,0.2408551455313031,0.0002325033603961,0.1424933047443837,0.0002599108118109,1.3626665807161171,0.0045070301448676,0.0051736015674535
H_MIXED,7,0.5,0.5,6.99553611123625e-05,0.207675149669737,0.0002981775958794,0.1770261795446652,0.0001396195652009,0.7094959284971439,0.0044952799924834,0.0059367031296548
H_MIXED,7,1.0,1.0,5.8993763926547565e-05,0.1788574144316367,0.0005160508411606,0.3648370926467248,0.0002630982080603,1.7259423305664974,0.0045322733454548,0.0112688490072626
H_MIXED,7,2.0,2.0,0.0005107686604257,0.9833446760655904,0.0010875953705146,0.540295502306324,0.0004061268241986,2.140061876528665,0.0046119249157665,0.0245702083114698
H_MIXED,15,0.1,0.1,0.0001082873978333,0.344404254742097,0.0002709046687335,0.1624374440097215,0.0004929585936877,2.9911294512173106,0.0045022041170958,0.0131490271009784
H_MIXED,15,0.25,0.25,7.967380676032672e-05,0.3512006997700112,0.0002834592720768,0.1900574694405093,0.0003328530931881,1.9001394159925324,0.0045097956146595,0.0116808378676994
H_MIXED,15,0.5,0.5,7.26251498030153e-05,0.1931092248241734,0.0003434203072624,0.1893664729705911,0.0001389237542409,0.6675434849123664,0.0045333989557694,0.0133121592380094
H_MIXED,15,1.0,1.0,5.728756268179263e-05,0.1617533914730403,0.0005321161763722,0.3969711911407952,0.000289711951459,2.0535116005228105,0.0045452366968508,0.0147838436176492
H_MIXED,15,2.0,2.0,0.0005104496027913,0.973820539060674,0.0010905304159283,0.5404330363559803,0.0004063908774064,2.1341152279636364,0.0046113259397626,0.0245203278776483
H_FINE,3,0.1,0.1,5.658075353168295e-05,0.1152830232106012,0.0001648799894925,0.0586852869877361,0.0001909851468779,0.6059028558333123,0.0046268964527289,0.0115177057306684
H_FINE,3,0.25,0.25,6.151333420317302e-05,0.1674685098241656,0.000203006019098,0.1117374906717333,0.0002184531160476,0.7864831627747698,0.0047157375098685,0.0051413088793855
H_FINE,3,0.5,0.5,0.0001045806588054,0.208149858694058,0.0003280159913987,0.1712358488370093,0.0001953692212144,0.5630274131649831,0.0046909055397542,0.0048705481393885
H_FINE,3,1.0,1.0,9.562026579841644e-05,0.1786818299466601,0.0006154367365588,0.3361979985560141,0.0002874101059828,1.3741270445853515,0.0047228746807474,0.013783760677543
H_FINE,3,2.0,2.0,0.0007648084952827,1.066526789337818,0.0012524956700857,0.5539351524056598,0.0006295162816007,1.922226136558635,0.0047632971101024,0.0223784708860064
H_FINE,7,0.1,0.1,7.141895334157971e-05,0.1760056318841705,0.0002193910451933,0.0867460536172233,0.0002968147284813,1.244034214950709,0.004687379113955,0.0079287987159865
H_FINE,7,0.25,0.25,6.435671896418537e-05,0.2001574744998533,0.0002375316082548,0.1230463974702752,0.0002560200811521,1.050529023503049,0.0046978417294331,0.0051736015674535
H_FINE,7,0.5,0.5,9.849964815806012e-05,0.1841185415071872,0.0003267821708516,0.1651730095235177,0.0001890860384495,0.5134893316092684,0.0046859923476005,0.0059367031296548
H_FINE,7,1.0,1.0,9.4446375505692e-05,0.167817179156922,0.0006010393813367,0.3452196547652625,0.0002883965375325,1.4996786682509808,0.0047330818602203,0.0112688490072626
H_FINE,7,2.0,2.0,0.000766657196126,1.030551810977267,0.0012528144956293,0.5434039115341308,0.0006302749639409,1.8441445547493316,0.0048042869230523,0.0245702083114698
H_FINE,15,0.1,0.1,0.0001047919499588,0.3177341764338562,0.0002690096104905,0.1429377737851528,0.0004983509736595,2.8064458235543106,0.0046824494639672,0.0136384235120714
H_FINE,15,0.25,0.25,7.935677149383085e-05,0.2901436202465975,0.0002868258079617,0.1644397447167422,0.0003270999674337,1.51474956776808,0.0047010350587826,0.0116808378676994
H_FINE,15,0.5,0.5,0.0001010367582059,0.1814344611407053,0.0003750577934388,0.1805948905588419,0.0001897228971491,0.4567446679543099,0.0047230574712467,0.0133121592380094
H_FINE,15,1.0,1.0,9.423328498949696e-05,0.1602833823375538,0.0006158203373637,0.3798136990495024,0.0003146349525795,1.7460924284646482,0.00475029850062,0.0147838436176492
H_FINE,15,2.0,2.0,0.0007693164731105,1.0211466681823145,0.00125440280363,0.5445726221702423,0.0006345993369237,1.6880174454917851,0.0048041182234104,0.0245203278776483
P_LF,3,0.1,0.1,0.0001481639695313,0.1525187346589768,0.0002224589470242,0.0911389917266507,0.0003299221358561,0.958730754056382,0.004269720491641,0.0118439700047304
P_LF,3,0.25,0.25,0.0001671433537051,0.2759976863242741,0.0002589681437685,0.1987447065104108,0.0003410818843034,1.4792351445213694,0.0043369965371538,0.0051413088793855
P_LF,3,0.5,0.5,0.0001953555562526,0.2801746411692175,0.0003612085747947,0.2879143244645452,0.0002887843417539,1.3734327781751152,0.0043295975649251,0.0048705481393885
