condition,delta,window,K,sampling_mse,sampling_psnr,sampling_ssim,fusion_mse,fusion_psnr,fusion_ssim,total_mse,total_psnr,total_ssim,focus_index_agreement,axial_error_kF_mean,axial_error_kF_median,axial_error_kF_p95,oracle_axial_error_mean,oracle_axial_error_median,oracle_axial_error_p95,N_eff,R_Z,adjacent_overlap_mean,region_plateau_mse,region_ramp_mse,region_hard_step_mse,region_protrusion_mse,region_plateau_axial_error_mean,region_ramp_axial_error_mean,region_hard_step_axial_error_mean,region_protrusion_axial_error_mean
H_LF,0.31,3,27,0.00010471919733655347,87.93054056141499,0.9999919642245745,1.9290447919666517e-05,95.27738048891158,0.999998405210265,0.00013368425359834994,86.8700010527445,0.9999885288513544,0.7715793788580247,0.2771415809244705,0.13000000000000034,0.7999999999999998,0.10979132045895218,0.13000000000000034,0.13000000000000034,18.008254952516964,0.33302759435122353,0.3458363479801167,7.055317440184737e-05,0.00023046075175904424,0.00042471091445215426,0.004347989766451623,0.35230875635017606,0.22083368134663875,1.8965779525085993,0.006150581630563658
H_LF,0.32,3,26,0.00011719280506810875,87.44179411431021,0.9999911436348535,1.9856676095246402e-05,95.15173809271883,0.9999983899690029,0.00013378288803398466,86.86679793831317,0.9999887711213394,0.583599537037037,0.28369994499751244,0.1599999999999997,0.8000000000000003,0.12756366916125708,0.1599999999999997,0.16000000000000014,17.043920630921445,0.344464591118406,0.35824317476314205,3.6709478379587154e-05,0.00022188609279713241,0.00034102697364961755,0.004353909800558817,0.07590682330006032,0.21414665264790028,1.2322566042287517,0.0046598092027822875
H_LF,0.33,3,26,0.00010335714113996172,87.98739872642503,0.9999919624503422,1.6727703593710005e-05,95.89644036464598,0.999998730442546,0.0001280135804061774,87.0582431635588,0.9999891499581374,0.7764038387345679,0.2549771354553676,0.13999999999999968,0.5200000000000005,0.10992507131461689,0.13999999999999968,0.13999999999999968,17.107476873000213,0.34202012026922257,0.35570092507999157,6.274217720720037e-05,0.0002365796862915401,0.00043366917623334885,0.004303254792675148,0.2909111896657588,0.21648850675876558,1.6142514828669157,0.010975578815279744
H_LF,0.34,3,25,0.00010630336789237337,87.8653333685352,0.9999917946097725,1.666847781693313e-05,95.91184419461653,0.9999986567234237,0.00013009073371586627,86.98833997737437,0.9999889558112262,0.837241512345679,0.23959997922422774,0.11999999999999966,0.42210519790649426,0.10249941471603215,0.11999999999999966,0.13093046188354518,17.229684563158628,0.31081261747365485,0.3237631432017239,5.372778009238232e-05,0.00022886781619806668,0.00044953481043396166,0.0043643060425386055,0.19012107878336473,0.21103519429294118,2.1140688281123223,0.008762347966578416
H_LF,0.35,3,24,0.0001151220638011283,87.51921794242631,0.9999913832740748,1.8248161595148262e-05,95.51861242721938,0.9999985399408517,0.00013948091731071514,86.68565565971889,0.9999883760068835,0.8653935185185185,0.23160196050076262,0.09999999999999964,0.3923578858375547,0.09935667106626485,0.09999999999999964,0.15000000000000036,16.343139413629274,0.31903585776544696,0.33290698201611846,4.21803690922913e-05,0.00025044516134378346,0.00041561889654111335,0.004330958733749478,0.10811931300196334,0.28957688714123675,1.7261049675692746,0.0037751855119017544
H_LF,0.36,3,24,0.00010908771648056053,87.75304510050853,0.9999916313688223,1.3909587859931239e-05,96.69766098798894,0.9999990379428224,0.00012786767091169573,87.06319606220632,0.9999895009608484,0.9058666087962963,0.17860884915251893,0.08000000000000007,0.28000000000000025,0.07994528124630712,0.08000000000000007,0.16210519790649447,16.54014458202294,0.31082730908237755,0.324341539912046,7.814635825525926e-05,0.00025118778152688525,0.0005222215052252798,0.0043056469618229344,0.4831774804594908,0.22134233058594263,2.4108696762602304,0.011653433001644273
H_LF,0.37,3,23,0.00011865050905125709,87.38810755038719,0.9999911193359192,1.677445675014086e-05,95.88431896660947,0.9999987939058069,0.00013168626452877245,86.93539882416759,0.9999892970951114,0.9045278742283951,0.17199414893255704,0.05999999999999961,0.3100000000000005,0.07479136358176185,0.05999999999999961,0.16999999999999993,15.944484956479897,0.3067615236313088,0.32070522925091366,3.7991494874418675e-05,0.0002323651116663691,0.00048111760712364854,0.0043623845282108045,0.0833130356428988,0.25545250935251,2.048650536729042,0.007319952869882005
H_LF,0.38,3,23,0.00011350150135783318,87.58078754606522,0.9999913802208278,1.379834297004377e-05,96.73253425348919,0.999999089466097,0.00013144301422067804,86.94342851186506,0.9999893375111553,0.9084789737654321,0.15249161142313142,0.040000000000000036,0.3400000000000003,0.06314700951121775,0.040000000000000036,0.17894737720489529,15.547623561550761,0.3240163668890973,0.33874438356587455,5.991103836050982e-05,0.0002595242888185882,0.00041578635955016456,0.003970873507898783,0.2606131586526698,0.24740228685865756,2.0024184129490403,0.02003026173515346
H_LF,0.39,3,22,0.00013247930271548288,86.9093232726357,0.9999903002562796,1.79023943484545e-05,95.60169241464492,0.9999986855334553,0.0001451288860075083,86.51326499187446,0.9999884537264022,0.8637437307098765,0.18381230694076378,0.019999999999999574,0.5517364823818205,0.0707011299937039,0.019999999999999574,0.17999999999999972,15.370868760914783,0.3013241472311462,0.3156729161469151,7.026411210616866e-05,0.00026837156423160566,0.00047451204296666133,0.004392679244391735,0.4193008647668195,0.2783096520684411,1.879562364058061,0.008214302825305438
H_LF,0.4,3,21,0.00011132947602925877,87.66470195796025,0.9999913934372738,1.0274113802325499e-05,98.01335988943455,0.9999994706772442,0.00012195919080396693,87.26865826697507,0.9999902583402102,0.9175607638888889,0.09350599301037216,0.0,0.357894802093506,0.028922046418501778,0.0,0.1568628072738651,15.128727869822987,0.2795843871512863,0.29356360650885055,4.4478837081236416e-05,0.0002426542546439466,0.0004143841309580158,0.004332939737412897,0.1238444278756152,0.2039462144101046,1.8082345265745228,0.005643422296346692
H_LF,0.41,3,21,0.00011860530488227227,87.38976246632464,0.9999911480055903,1.4615233230909371e-05,96.48274610617578,0.9999990454648955,0.0001380533982826409,86.73033259293322,0.9999889253818546,0.8880203510802469,0.15201800080651812,0.020000000000000462,0.3899999999999997,0.05918437513335646,0.020000000000000462,0.17999999999999972,14.846203497210707,0.29303792870425205,0.3076898251394647,4.962140944181098e-05,0.0002595645157723906,0.00041007529591782126,0.00438552071124852,0.17846735887704504,0.26719512156186515,1.819123875522756,0.0078916365326326
