condition,window,delta_from,delta_to,metric,value_from,value_to,abs_change,rel_change,better_direction
H_FINE,7,1.0,0.5,axial_error_kF_mean,0.2699624573571862,0.2172621502966011,-0.05270030706058512,-0.19521346625933828,lower
H_FINE,7,0.5,0.25,total_mse,0.0002290160421235,0.0001229231850351,-0.0001060928570884,-0.4632551331543316,lower
H_FINE,7,0.5,0.25,sampling_mse,0.0002268133987975,0.000100842813061,-0.0001259705857365,-0.5553930517524985,lower
H_FINE,7,0.5,0.25,focus_index_agreement,0.9762678433641976,0.9716329089506172,-0.004634934413580427,-0.004747605326842012,higher
H_FINE,7,0.5,0.25,axial_error_kF_mean,0.2172621502966011,0.1052370983205791,-0.11202505197602199,-0.5156215743197242,lower
H_FINE,7,0.25,0.12,total_mse,0.0001229231850351,0.0001111599568355,-1.1763228199599993e-05,-0.09569576476757474,lower
H_FINE,7,0.25,0.12,sampling_mse,0.000100842813061,6.66001077749406e-05,-3.42427052860594e-05,-0.3395651533971581,lower
H_FINE,7,0.25,0.12,focus_index_agreement,0.9716329089506172,0.9733453896604938,0.0017124807098766182,0.001762477057025715,higher
H_FINE,7,0.25,0.12,axial_error_kF_mean,0.1052370983205791,0.0663888834375765,-0.03884821488300261,-0.36914943021956964,lower
H_FINE,7,2.0,1.0,total_mse,0.0010226554018778,0.0003597182729849,-0.0006629371288929,-0.6482507476864785,lower
H_FINE,7,2.0,1.0,sampling_mse,0.0010362264793146,0.0003717947438427,-0.0006644317354719,-0.6412032009753125,lower
H_FINE,7,2.0,1.0,focus_index_agreement,0.9562601273148148,0.9761930941358024,0.019932966820987552,0.020844711864081863,higher
H_FINE,7,2.0,1.0,axial_error_kF_mean,0.7915071448136944,0.2699624573571862,-0.5215446874565082,-0.6589260638692904,lower
H_FINE,15,1.0,0.5,total_mse,0.0003790248501621,0.0002623614505364,-0.00011666339962570002,-0.3077988147104493,lower
H_FINE,15,1.0,0.5,sampling_mse,0.0003717947438427,0.0002268133987975,-0.00014498134504519999,-0.38994995880452554,lower
H_FINE,15,1.0,0.5,focus_index_agreement,0.9710112847222222,0.9682899305555556,-0.002721354166666634,-0.0028025978786076966,higher
H_FINE,15,1.0,0.5,axial_error_kF_mean,0.2906379592671212,0.2429071031583829,-0.04773085610873831,-0.16422788072520686,lower
H_FINE,15,0.5,0.25,total_mse,0.0002623614505364,0.0001615874507652,-0.00010077399977119998,-0.38410368430715247,lower
H_FINE,15,0.5,0.25,sampling_mse,0.0002268133987975,0.000100842813061,-0.0001259705857365,-0.5553930517524985,lower
H_FINE,15,0.5,0.25,focus_index_agreement,0.9682899305555556,0.9579123263888888,-0.010377604166666776,-0.010717455422378125,higher
H_FINE,15,0.5,0.25,axial_error_kF_mean,0.2429071031583829,0.1406637048189161,-0.1022433983394668,-0.4209156381598317,lower
H_FINE,15,0.25,0.12,total_mse,0.0001615874507652,0.0001497837527845,-1.1803697980699993e-05,-0.07304835817882756,lower
H_FINE,15,0.25,0.12,sampling_mse,0.000100842813061,6.66001077749406e-05,-3.42427052860594e-05,-0.3395651533971581,lower
H_FINE,15,0.25,0.12,focus_index_agreement,0.9579123263888888,0.9590345293209876,0.0011222029320988591,0.0011715090214250697,higher
H_FINE,15,0.25,0.12,axial_error_kF_mean,0.1406637048189161,0.0959533491932829,-0.044710355625633205,-0.31785282268223514,lower
H_FINE,15,2.0,1.0,total_mse,0.0010243399514151,0.0003790248501621,-0.000645315101253,-0.6299813849508782,lower
H_FINE,15,2.0,1.0,sampling_mse,0.0010362264793146,0.0003717947438427,-0.0006644317354719,-0.6412032009753125,lower
H_FINE,15,2.0,1.0,focus_index_agreement,0.9627498070987656,0.9710112847222222,0.008261477623456637,0.008581126230866248,higher
H_FINE,15,2.0,1.0,axial_error_kF_mean,0.7985712909094683,0.2906379592671212,-0.5079333316423471,-0.636052582185715,lower
P_LF,3,1.0,0.5,total_mse,0.0003705886363885,0.0002523086306676,-0.0001182800057209,-0.31916792396435834,lower
P_LF,3,1.0,0.5,sampling_mse,0.000326234179707,0.000203610309657,-0.00012262387005,-0.37587683228082325,lower
P_LF,3,1.0,0.5,focus_index_agreement,0.840727237654321,0.7355362654320987,-0.10519097222222229,-0.1251190249476291,higher
P_LF,3,1.0,0.5,axial_error_kF_mean,0.3712610909160486,0.3438391397651023,-0.02742195115094631,-0.07386163490304212,lower
P_LF,3,0.5,0.25,total_mse,0.0002523086306676,0.0001545503030916,-9.775832757599997e-05,-0.3874553451355778,lower
P_LF,3,0.5,0.25,sampling_mse,0.000203610309657,0.0001240579270488,-7.955238260819999e-05,-0.39070901047306095,lower
P_LF,3,0.5,0.25,focus_index_agreement,0.7355362654320987,0.8885894097222222,0.1530531442901235,0.2080837498885399,higher
P_LF,3,0.5,0.25,axial_error_kF_mean,0.3438391397651023,0.1506339443697438,-0.19320519539535846,-0.5619057665376572,lower
P_LF,3,0.25,0.12,total_mse,0.0001545503030916,0.0001265104005873,-2.803990250430002e-05,-0.1814289713018623,lower
P_LF,3,0.25,0.12,sampling_mse,0.0001240579270488,9.295812946048527e-05,-3.109979758831474e-05,-0.25068770958974007,lower
P_LF,3,0.25,0.12,focus_index_agreement,0.8885894097222222,0.958049286265432,0.06945987654320973,0.0781686972444599,higher
P_LF,3,0.25,0.12,axial_error_kF_mean,0.1506339443697438,0.0781457811238768,-0.07248816324586702,-0.48122064086656763,lower
P_LF,3,2.0,1.0,total_mse,0.0011458853213635,0.0003705886363885,-0.000775296684975,-0.6765918635317424,lower
P_LF,3,2.0,1.0,sampling_mse,0.0011549252542817,0.000326234179707,-0.0008286910745747,-0.717527884598991,lower
P_LF,3,2.0,1.0,focus_index_agreement,0.937047164351852,0.840727237654321,-0.09631992669753098,-0.10279090568952813,higher
P_LF,3,2.0,1.0,axial_error_kF_mean,0.7924081155002094,0.3712610909160486,-0.4211470245841608,-0.5314774247589713,lower
P_LF,7,1.0,0.5,total_mse,0.0003481828636529,0.0002440655101183,-0.00010411735353460001,-0.2990306657894386,lower
P_LF,7,1.0,0.5,sampling_mse,0.000326234179707,0.000203610309657,-0.00012262387005,-0.37587683228082325,lower
P_LF,7,1.0,0.5,focus_index_agreement,0.8979624807098765,0.8216203703703704,-0.07634211033950611,-0.08501703799378624,higher
P_LF,7,1.0,0.5,axial_error_kF_mean,0.3403224577747535,0.3118757855967193,-0.028446672178034205,-0.08358740814237413,lower
P_LF,7,0.5,0.25,total_mse,0.0002440655101183,0.0001671191143118,-7.694639580649998e-05,-0.3152694363460188,lower
P_LF,7,0.5,0.25,sampling_mse,0.000203610309657,0.0001240579270488,-7.955238260819999e-05,-0.39070901047306095,lower
P_LF,7,0.5,0.25,focus_index_agreement,0.8216203703703704,0.9307585841049384,0.109138213734568,0.1328328966398078,higher
P_LF,7,0.5,0.25,axial_error_kF_mean,0.3118757855967193,0.1439548654547997,-0.1679209201419196,-0.5384224357804263,lower
P_LF,7,0.25,0.12,total_mse,0.0001671191143118,0.0001524339359741,-1.4685178337700008e-05,-0.08787252372760516,lower
P_LF,7,0.25,0.12,sampling_mse,0.0001240579270488,9.295812946048527e-05,-3.109979758831474e-05,-0.25068770958974007,lower
P_LF,7,0.25,0.12,focus_index_agreement,0.9307585841049384,0.966063850308642,0.035305266203703556,0.037931711623862996,higher
P_LF,7,0.25,0.12,axial_error_kF_mean,0.1439548654547997,0.0832415331506109,-0.06071333230418881,-0.4217525549579437,lower
P_LF,7,2.0,1.0,total_mse,0.0011456212334809,0.0003481828636529,-0.0007974383698280001,-0.6960750608689683,lower
P_LF,7,2.0,1.0,sampling_mse,0.0011549252542817,0.000326234179707,-0.0008286910745747,-0.717527884598991,lower
P_LF,7,2.0,1.0,focus_index_agreement,0.9580753279320988,0.8979624807098765,-0.06011284722222232,-0.06274334122763536,higher
P_LF,7,2.0,1.0,axial_error_kF_mean,0.7794747665620879,0.3403224577747535,-0.4391523087873344,-0.5633951573881442,lower
P_LF,15,1.0,0.5,total_mse,0.0003540009796401,0.0002658774844533,-8.81234951868e-05,-0.24893573819030662,lower
P_LF,15,1.0,0.5,sampling_mse,0.000326234179707,0.000203610309657,-0.00012262387005,-0.37587683228082325,lower
P_LF,15,1.0,0.5,focus_index_agreement,0.9544709683641976,0.9443431712962964,-0.010127797067901234,-0.01061090112071043,higher
P_LF,15,1.0,0.5,axial_error_kF_mean,0.3246905088195811,0.2869227455662685,-0.0377677632533126,-0.11631927089774834,lower
P_LF,15,0.5,0.25,total_mse,0.0002658774844533,0.0002079038705159,-5.797361393739998e-05,-0.21804634588222435,lower
P_LF,15,0.5,0.25,sampling_mse,0.000203610309657,0.0001240579270488,-7.955238260819999e-05,-0.39070901047306095,lower
P_LF,15,0.5,0.25,focus_index_agreement,0.9443431712962964,0.9316811342592592,-0.012662037037037166,-0.01340830052242135,higher
P_LF,15,0.5,0.25,axial_error_kF_mean,0.2869227455662685,0.1756006163794594,-0.11132212918680912,-0.38798642110824855,lower
P_LF,15,0.25,0.12,total_mse,0.0002079038705159,0.0001980932717617,-9.810598754200018e-06,-0.04718814868552303,lower
P_LF,15,0.25,0.12,sampling_mse,0.0001240579270488,9.295812946048527e-05,-3.109979758831474e-05,-0.25068770958974007,lower
P_LF,15,0.25,0.12,focus_index_agreement,0.9316811342592592,0.9453043016975308,0.013623167438271522,0.014622135124698787,higher
P_LF,15,0.25,0.12,axial_error_kF_mean,0.1756006163794594,0.1194912456437037,-0.0561093707357557,-0.3195283245162857,lower
