condition,window,landmark_delta,actual_delta,K,N_eff,R_Z,adjacent_overlap_mean,total_mse,sampling_mse
H_FINE,15,0.25,0.25,33,11.658164757353676,0.6467222800801916,0.6669323513326975,0.0001615874507652,0.000100842813061
H_FINE,15,0.5,0.5,17,9.78183863385506,0.4245977274202905,0.4511350853840588,0.0002623614505364,0.0002268133987975
H_FINE,15,1.0,1.0,9,7.347878055429733,0.1835691049522518,0.2065152430712833,0.0003790248501621,0.0003717947438427
H_FINE,15,2.0,2.0,5,4.75654853047304,0.0486902939053919,0.0608628673817398,0.0010243399514151,0.0010362264793146
P_LF,3,0.1,0.1,81,25.08766405533001,0.6902757524033332,0.6989041993083749,0.0001280820503137,8.996064011427299e-05
P_LF,3,0.25,0.25,33,20.496606982778083,0.3788906974915732,0.3907310317881849,0.0001545503030916,0.0001240579270488
P_LF,3,0.5,0.5,17,11.75964520806962,0.3082561642311988,0.3275221744956488,0.0002523086306676,0.000203610309657
P_LF,3,1.0,1.0,9,7.46164272817286,0.170928585758571,0.1922946589783926,0.0003705886363885,0.000326234179707
P_LF,3,2.0,2.0,5,4.038729257728739,0.1922541484542522,0.2403176855678153,0.0011458853213635,0.0011549252542817
P_LF,7,0.1,0.1,81,15.488525906910336,0.8087836307788847,0.8188934261636209,0.0001548880546699,8.996064011427299e-05
P_LF,7,0.25,0.25,33,15.872127200920657,0.5190264484569498,0.5352460249712294,0.0001671191143118,0.0001240579270488
P_LF,7,0.5,0.5,17,11.077379575431422,0.3483894367393281,0.3701637765355361,0.0002440655101183,0.000203610309657
P_LF,7,1.0,1.0,9,7.341217062429771,0.1843092152855809,0.2073478671962786,0.0003481828636529,0.000326234179707
P_LF,7,2.0,2.0,5,4.033459023664928,0.1933081952670143,0.2416352440837678,0.0011456212334809,0.0011549252542817
P_LF,15,0.1,0.1,81,10.99908144265303,0.8642088710783576,0.8750114819668372,0.0001966438996703,8.996064011427299e-05
P_LF,15,0.25,0.25,33,11.582714493294564,0.6490086517183465,0.669290172084545,0.0002079038705159,0.0001240579270488
P_LF,15,0.5,0.5,17,9.038597505487235,0.4683177937948684,0.4975876559070477,0.0002658774844533,0.000203610309657
P_LF,15,1.0,1.0,9,6.853046093591329,0.2385504340454078,0.2683692383010839,0.0003540009796401,0.000326234179707
P_LF,15,2.0,2.0,5,4.022222441267569,0.1955555117464861,0.2444443896831077,0.0011489269988299,0.0011549252542817
P_COARSE,3,0.1,0.1,81,25.001224903983417,0.6913429024199578,0.6999846887002072,0.0001218652121282,9.11228652488548e-05
P_COARSE,3,0.25,0.25,33,20.69890908104241,0.3727603308775027,0.3844090912174246,0.0001513884401641,0.0001337586270419
P_COARSE,3,0.5,0.5,17,12.580011355228972,0.2599993320453545,0.2762492902981893,0.0002846280049663,0.0002702408413023
P_COARSE,3,1.0,1.0,9,8.069382054680496,0.1034019939243893,0.1163272431649381,0.0004553535787444,0.0004574075732315
P_COARSE,3,2.0,2.0,5,4.728944262087307,0.0542111475825386,0.0677639344781735,0.0020905689509377,0.0021162652126185
P_COARSE,7,0.1,0.1,81,15.286617869503845,0.811276322598718,0.821417276631202,0.0001500729636632,9.11228652488548e-05
P_COARSE,7,0.25,0.25,33,15.937610581615392,0.5170421035874123,0.5331996693245189,0.000165308587295,0.0001337586270419
P_COARSE,7,0.5,0.5,17,11.809534074411175,0.3053215250346366,0.3244041203493014,0.0002799962266761,0.0002702408413023
P_COARSE,7,1.0,1.0,9,7.849596990925377,0.127822556563847,0.1438003761343277,0.0004502761153109,0.0004574075732315
