delta,s_z,C_bar,coverage_deficit,S_delta
2.0578660571198006,3.42657175,0.509304088737686,0.49069591126231404,0.22168200895464213
2.0581062515734976,3.4269716999999997,0.5092508460395921,0.49074915396040786,0.22164794568749413
2.0583464460271945,3.42737165,0.5091976115230806,0.49080238847691937,0.2216138842972168
2.0585866404808915,3.4277716,0.5091443851877007,0.49085561481229933,0.22157982478699245
2.0588268349345884,3.4281715499999996,0.509091167033,0.49090883296700005,0.22154576716000124
2.059067029388286,3.4285715,0.5090379570585258,0.49096204294147416,0.22151171141942114
2.0593072238419827,3.4289714499999997,0.5089847552638248,0.4910152447361752,0.22147765756842788
2.05954741829568,3.4293714,0.5089315616484427,0.49106843835155733,0.22144360561019483
2.059787612749377,3.4297713499999998,0.5088783762119246,0.49112162378807545,0.2214095555478934
2.060027807203074,3.4301712999999996,0.5088251989538144,0.4911748010461856,0.22137550738469258
2.060268001656771,3.43057125,0.508772029873656,0.491227970126344,0.22134146112375908
2.060508196110468,3.4309711999999997,0.5087188689709917,0.4912811310290083,0.22130741676825758
2.0607483905641653,3.43137115,0.5086657162453635,0.4913342837546365,0.22127337432135022
2.060988585017862,3.4317710999999997,0.5086125716963129,0.4913874283036871,0.22123933378619745
2.0612287794715596,3.43217105,0.5085594353233801,0.4914405646766199,0.221205295165957
2.0614689739252565,3.432571,0.5085063071261048,0.4914936928738952,0.22117125846378452
2.0617091683789535,3.4329709499999996,0.508453187104026,0.491546812895974,0.22113722368283362
2.061949362832651,3.4333709,0.5084000752566815,0.4915999247433185,0.22110319082625526
2.062189557286348,3.4337708499999997,0.5083469715836092,0.4916530284163908,0.22106915989719883
2.0624297517400447,3.4341708,0.5082938760843454,0.4917061239156546,0.22103513089881094
2.0626699461937417,3.43457075,0.5082407887584262,0.49175921124157385,0.22100110383423616
2.0629101406474386,3.4349706999999996,0.5081877096053865,0.4918122903946135,0.2209670787066168
2.063150335101136,3.43537065,0.5081346386247608,0.4918653613752392,0.22093305551909312
2.063390529554833,3.4357705999999997,0.5080815758160828,0.4919184241839172,0.2208990342748031
2.0636307240085303,3.43617055,0.5080285211788852,0.4919714788211148,0.22086501497688216
2.0638709184622273,3.4365704999999998,0.5079754747127003,0.4920245252872997,0.22083099762846406
2.064111112915924,3.43697045,0.5079224364170595,0.4920775635829405,0.22079698223268004
2.064351307369621,3.4373704,0.5078694062914931,0.49213059370850687,0.22076296879265908
2.064591501823318,3.4377703499999996,0.5078163843355313,0.49218361566446867,0.22072895731152806
2.0648316962770155,3.4381703,0.5077633705487029,0.4922366294512971,0.22069494779241153
