s_z,C_bar,coverage_deficit,S_analytical,S_numeric,derivative_abs_error,fine_asymptotic_deficit,coarse_asymptotic_coverage
7.5104612,0.23599797803930786,0.7640020219606921,0.031422468031884115,0.03142246803033988,1.5442369605267459e-12,4.700585619725453,0.23599800381173874
7.51086115,0.23598541129239775,0.7640145887076022,0.03141912180629595,0.03141912180565365,6.422987142151726e-13,4.70108626788161,0.23598543702349176
7.5112611000000005,0.23597284588370376,0.7640271541162962,0.03141577611500288,0.03141577611248669,2.516188646328743e-12,4.701586942697769,0.23597287157352523
7.51166105,0.23596028181301218,0.7640397181869878,0.031412430957891445,0.03141243095916568,1.2742376598318117e-12,4.7020876441739246,0.2359603074616254
7.512061,0.23594771908010934,0.7640522809198906,0.03140908633484816,0.031409086335976166,1.1280074097008708e-12,4.702588372310084,0.23594774468757854
7.51246095,0.2359351576847817,0.7640648423152183,0.031405742245759614,0.0314057422456937,6.591255319321476e-14,4.703089127106242,0.23593518325117094
7.5128609,0.2359225976268158,0.7640774023731842,0.03140239869051241,0.03140239868970607,8.063411049974434e-13,4.7035899085624004,0.23592262315218906
7.51326085,0.23591003890599802,0.764089961094002,0.031399055668993175,0.031399055669401044,4.078681836716669e-13,4.70409071667856,0.23591006439041923
7.5136608,0.235897481522115,0.764102518477885,0.03139571318108857,0.03139571318061529,4.732811365038003e-13,4.70459155145472,0.23589750696564793
7.5140607500000005,0.23588492547495335,0.7641150745250467,0.031392371226685284,0.03139237122473659,1.9486912083976904e-12,4.705092412890881,0.2358849508776617
7.5144607,0.23587237076429968,0.7641276292357003,0.031389029805670064,0.0313890298045405,1.129561721935346e-12,4.705593300987041,0.23587239612624708
7.51486065,0.2358598173899407,0.7641401826100593,0.03138568891792964,0.031385688917251464,6.78172795698373e-13,4.706094215743202,0.23585984271119065
7.5152606,0.23584726535166314,0.7641527346483369,0.03138234856335078,0.0313823485614817,1.8690812786381628e-12,4.706595157159364,0.23584729063227905
7.51566055,0.23583471464925382,0.7641652853507461,0.03137900874182033,0.03137900874139454,4.2578440773155535e-13,4.707096125235525,0.235834739889299
7.5160605,0.23582216528249952,0.7641778347175004,0.0313756694532251,0.03137566945143888,1.7862170076377026e-12,4.7075971199716875,0.2358221904820372
7.51646045,0.23580961725118715,0.7641903827488128,0.031372330697451975,0.03137233069716583,2.861461068093263e-13,4.70809814136785,0.23580964241028046
7.5168604000000006,0.2357970705551036,0.7642029294448964,0.03136899247438784,0.03136899247302427,1.3635689799507134e-12,4.708599189424014,0.2357970956738156
7.51726035,0.23578452519403587,0.7642154748059642,0.03136565478391966,0.03136565478456532,6.456640777585676e-13,4.709100264140177,0.23578455027242948
7.5176603,0.23577198116777096,0.764228018832229,0.03136231762593435,0.03136231762485009,1.0842576836367357e-12,4.709601365516341,0.23577200620590902
7.51806025,0.2357594384760959,0.7642405615239041,0.03135898100031893,0.031358980999429686,8.892470093613269e-13,4.7101024935525055,0.23575946347404117
7.5184602,0.23574689711879784,0.7642531028812022,0.03135564490696042,0.031355644906916336,4.408279297152262e-14,4.71060364824867,0.23574692207661296
7.51886015,0.23573435709566387,0.7642656429043362,0.03135230934574585,0.0313523093431467,2.599150061843858e-12,4.711104829604835,0.2357343820134114
7.5192601,0.2357218184064812,0.7642781815935188,0.0313489743165623,0.031348974315059674,1.5026244137850142e-12,4.711606037621001,0.23572184328422363
7.519660050000001,0.23570928105103714,0.7642907189489628,0.031345639819296896,0.03134563981849192,8.049741428983737e-13,4.7121072722971675,0.2357093058888368
7.52006,0.23569674502911891,0.764303254970881,0.03134230585383676,0.03134230585205566,1.7810961039366191e-12,4.712608533633333,0.23569676982703808
7.52045995,0.2356842103405138,0.7643157896594862,0.031338972420069056,0.031338972419914235,1.5482060078397808e-13,4.713109821629501,0.23568423509861466
7.5208599000000005,0.2356716769850092,0.7643283230149908,0.031335639517881,0.03133563951651652,1.3644779750521252e-12,4.713611136285668,0.23567170170335386
7.52125985,0.23565914496239257,0.7643408550376074,0.031332307147159795,0.03133230714463808,2.5217120058762532e-12,4.714112477601835,0.23565916964104303
7.5216598,0.23564661427245137,0.7643533857275486,0.03132897530779272,0.031328975307054474,7.382428002244978e-13,4.714613845578003,0.2356466389114695
7.52205975,0.23563408491497306,0.7643659150850269,0.03132564399966702,0.03132564399960236,6.466355229051146e-14,4.715115240214172,0.23563410951442068
7.5224597,0.23562155688974523,0.7643784431102547,0.031322313222670074,0.03132231322089396,1.7761139781136137e-12,4.7156166615103405,0.23562158144968406
7.52285965,0.23560903019655544,0.7643909698034446,0.03131898297668917,0.03131898297509261,1.5965562205622064e-12,4.71611810946651,0.2356090547170471
7.5232596,0.2355965048351914,0.7644034951648087,0.0313156532616117,0.03131565326081054,8.011646901451286e-13,4.716619584082681,0.2355965293162974
7.5236595500000005,0.23558398080544068,0.7644160191945593,0.031312324077325086,0.03131232407527218,2.052906455940473e-12,4.71712108535885,0.2355840052472225
7.5240595,0.2355714581070912,0.7644285418929088,0.03130899542371674,0.031308995421253094,2.4636473416883575e-12,4.7176226132950205,0.23557148250961013
7.52445945,0.23555893673993056,0.7644410632600694,0.03130566730067413,0.03130566729875328,1.9208454271613107e-12,4.718124167891192,0.23555896110324787
7.5248594,0.23554641670374665,0.7644535832962533,0.03130233970808474,0.031302339704997184,3.087557987058176e-12,4.718625749147364,0.2355464410279235
7.52525935,0.23553389799832736,0.7644661020016726,0.03129901264583611,0.03129901264553592,3.001904280708345e-13,4.7191273570635355,0.23553392228342482
7.5256593,0.2355213806234606,0.7644786193765394,0.031295686113815786,0.03129568611204281,1.7729775980690476e-12,4.719628991639707,0.2355214048695396
7.52605925,0.23550886457893425,0.7644911354210657,0.03129236011191133,0.03129236011006897,1.842359598214216e-12,4.720130652875881,0.2355088887860557
7.526459200000001,0.23549634986453638,0.7645036501354636,0.03128903464001037,0.03128903463683885,3.1715186032954534e-12,4.720632340772054,0.23549637403276108
7.52685915,0.23548383648005505,0.7645161635199449,0.03128570969800056,0.031285709695128006,2.8725563594456105e-12,4.721134055328227,0.2354838606094437
7.5272591,0.23547132442527832,0.7645286755747217,0.031282385285769536,0.031282385282160874,3.608661980347705e-12,4.721635796544401,0.2354713485158915
7.5276590500000005,0.23545881369999436,0.7645411863000057,0.031279061403205015,0.031279061402100794,1.1042208813982768e-12,4.722137564420576,0.23545883775189258
7.528059,0.23544630430399133,0.7645536956960086,0.031275738050194735,0.03127573804939665,7.980838212517938e-13,4.72263935895675,0.23544632831723503
7.52845895,0.23543379623705743,0.7645662037629426,0.031272415226626424,0.031272415224048444,2.577979496543037e-12,4.7231411801529255,0.23543382021170692
7.5288589,0.23542128949898095,0.7645787105010191,0.031269092932387894,0.03126909293160729,7.806047475078515e-13,4.723643028009101,0.23542131343509648
7.52925885,0.23540878408955027,0.7645912159104498,0.03126577116736696,0.03126577116513429,2.2326654414150937e-12,4.724144902525277,0.235408807987192
7.5296588,0.23539628000855367,0.7646037199914464,0.031262449931451455,0.03126244993018057,1.2708861740762245e-12,4.724646803701453,0.23539630386778163
7.53005875,0.23538377725577955,0.7646162227442205,0.03125912922452925,0.03125912922258278,1.94647076234844e-12,4.72514873153763,0.23538380107665371
7.5304587000000005,0.23537127583101644,0.7646287241689835,0.03125580904648828,0.03125580904372871,2.759570350008289e-12,4.725650686033808,0.23537129961359668
7.53085865,0.23535877573405278,0.7646412242659473,0.031252489397216456,0.03125248939500613,2.2103222030445124e-12,4.726152667189985,0.2353587994783989
7.5312586,0.2353462769646771,0.7646537230353229,0.031249170276601738,0.031249170276415047,1.8669094048462398e-13,4.726654675006164,0.2353463006708488
7.53165855,0.23533377952267806,0.7646662204773219,0.031245851684532124,0.031245851682404343,2.127780590610584e-12,4.727156709482342,0.2353338031907349
7.5320585,0.23532128340784425,0.7646787165921558,0.031242533620895647,0.031242533618525133,2.3705135077101147e-12,4.727658770618521,0.23532130703784576
7.53245845,0.23530878861996427,0.7646912113800357,0.031239216085580345,0.03123921608338964,2.1907059499781667e-12,4.7281608584147,0.2353088122119699
7.5328584,0.23529629515882694,0.7647037048411731,0.0312358990784743,0.03123589907838564,8.866171685717461e-14,4.72866297287088,0.235296318712896
7.5332583500000005,0.235283803024221,0.764716196975779,0.03123258259946563,0.03123258259796202,1.503613206166321e-12,4.729165113987061,0.23528382654041272
7.5336583,0.23527131221593525,0.7647286877840648,0.031229266648442472,0.031229266646282113,2.1603586974894284e-12,4.72966728176324,0.23527133569430883
7.53405825,0.23525882273375853,0.7647411772662415,0.031225951225292987,0.031225951224733702,5.592852569957785e-13,4.730169476199422,0.235258846174373
7.5344582,0.23524633457747976,0.7647536654225202,0.031222636329905382,0.03122263632915345,7.519332378969068e-13,4.730671697295604,0.2352463579803941
7.53485815,0.23523384774688794,0.7647661522531121,0.03121932196216789,0.03121932196231691,1.490231549272636e-13,4.731173945051785,0.235233871112161
7.5352581,0.23522136224177193,0.7647786377582281,0.031216008121968744,0.031216008121448532,5.202123454228769e-13,4.731676219467968,0.23522138556946257
7.53565805,0.23520887806192084,0.7647911219380792,0.03121269480919625,0.03121269480793609,1.2601621135477359e-12,4.73217852054415,0.23520890135208775
7.536058000000001,0.2351963952071237,0.7648036047928763,0.03120938202373872,0.03120938202316736,5.71358932388577e-13,4.732680848280334,0.2351964184598255
7.53645795,0.23518391367716976,0.7648160863228303,0.031206069765484498,0.03120606976436679,1.1177066217005205e-12,4.733183202676517,0.23518393689246497
7.5368579,0.23517143347184805,0.764828566528152,0.031202758034321956,0.03120275803292216,1.399796945023013e-12,4.733685583732702,0.2351714566497951
