delta,model,regime,E,M
2.4969999999999994,FD,LF,0.7151922655217702,0.14617101088872056
2.4979999999999993,FD,LF,0.7150461053411772,0.14614934619329695
2.498999999999999,FD,LF,0.714899966837584,0.14612765689627
2.4999999999999996,FD,LF,0.7147538500355711,0.14610594304007873
2.5009999999999994,FD,LF,0.7146077549596763,0.14608420466712363
2.5019999999999993,FD,LF,0.7144616816343949,0.1460624418197665
2.5029999999999992,FD,LF,0.7143156300841808,0.14604065454033038
2.5039999999999996,FD,LF,0.7141696003334443,0.14601884287109976
2.5049999999999994,FD,LF,0.7140235924065543,0.14599700685432043
2.5059999999999993,FD,LF,0.7138776063278375,0.1459751465321995
2.5069999999999992,FD,LF,0.7137316421215777,0.14595326194690544
2.5079999999999996,FD,LF,0.7135856998120172,0.14593135314056815
2.5089999999999995,FD,LF,0.7134397794233562,0.14590942015527886
2.5099999999999993,FD,LF,0.7132938809797523,0.14588746303309014
2.5109999999999992,FD,LF,0.7131480045053217,0.14586548181601594
2.5119999999999996,FD,LF,0.7130021500241379,0.1458434765460317
2.5129999999999995,FD,LF,0.7128563175602332,0.14582144726507418
2.5139999999999993,FD,LF,0.7127105071375975,0.1457993940150415
2.5149999999999992,FD,LF,0.7125647187801789,0.14577731683779327
2.5159999999999996,FD,LF,0.7124189525118836,0.14575521577515055
2.5169999999999995,FD,LF,0.7122732083565765,0.14573309086889563
2.5179999999999993,FD,LF,0.7121274863380799,0.1457109421607725
2.5189999999999992,FD,LF,0.7119817864801751,0.1456887696924864
2.5199999999999996,FD,LF,0.711836108806601,0.145666573505704
2.5209999999999995,FD,LF,0.7116904533410559,0.14564435364205358
2.5219999999999994,FD,LF,0.7115448201071953,0.1456221101431248
2.5229999999999992,FD,LF,0.7113992091286342,0.14559984305046875
2.5239999999999996,FD,LF,0.7112536204289452,0.145577552405598
2.5249999999999995,FD,LF,0.7111080540316599,0.14555523824998665
2.5259999999999994,FD,LF,0.7109625099602683,0.1455329006250703
2.5269999999999992,FD,LF,0.710816988238219,0.1455105395722459
2.5279999999999996,FD,LF,0.7106714888889193,0.14548815513287217
2.5289999999999995,FD,LF,0.7105260119357351,0.14546574734826917
2.5299999999999994,FD,LF,0.7103805574019908,0.14544331625971846
2.5309999999999993,FD,LF,0.7102351253109699,0.1454208619084632
2.5319999999999996,FD,LF,0.7100897156859143,0.145398384335708
2.5329999999999995,FD,LF,0.7099443285500253,0.14537588358261921
2.5339999999999994,FD,LF,0.7097989639264621,0.1453533596903246
2.5349999999999993,FD,LF,0.709653621838344,0.14533081269991338
2.5359999999999996,FD,LF,0.7095083023087481,0.14530824265243658
2.5369999999999995,FD,LF,0.7093630053607112,0.14528564958890666
2.5379999999999994,FD,LF,0.7092177310172286,0.14526303355029768
2.5389999999999993,FD,LF,0.7090724793012552,0.14524039457754534
2.5399999999999996,FD,LF,0.7089272502357045,0.14521773271154687
2.5409999999999995,FD,LF,0.7087820438434496,0.14519504799316124
2.5419999999999994,FD,LF,0.7086368601473221,0.14517234046320893
2.5429999999999993,FD,LF,0.7084916991701133,0.1451496101624721
2.5439999999999996,FD,LF,0.7083465609345738,0.1451268571316945
2.5449999999999995,FD,LF,0.7082014454634131,0.1451040814115816
2.5459999999999994,FD,LF,0.7080563527793003,0.14508128304280046
2.5469999999999993,FD,LF,0.7079112829048636,0.1450584620659799
2.5479999999999996,FD,LF,0.7077662358626908,0.14503561852171026
2.5489999999999995,FD,LF,0.707621211675329,0.14501275245054374
2.5499999999999994,FD,LF,0.7074762103652851,0.14498986389299412
2.5509999999999993,FD,LF,0.707331231955025,0.14496695288953693
2.5519999999999996,FD,LF,0.7071862764669745,0.1449440194806094
2.5529999999999995,FD,LF,0.7070413439235189,0.14492106370661048
2.5539999999999994,FD,LF,0.7068964343470029,0.14489808560790085
2.5549999999999993,FD,LF,0.7067515477597313,0.1448750852248029
2.5559999999999996,FD,LF,0.706606684183968,0.14485206259760083
2.5569999999999995,FD,LF,0.7064618436419373,0.1448290177665406
2.5579999999999994,FD,LF,0.7063170261558228,0.1448059507718299
2.5589999999999993,FD,LF,0.7061722317477681,0.1447828616536382
2.5599999999999996,FD,LF,0.7060274604398766,0.14475975045209677
2.5609999999999995,FD,LF,0.7058827122542117,0.14473661720729872
2.5619999999999994,FD,LF,0.7057379872127965,0.1447134619592989
2.5629999999999993,FD,LF,0.7055932853376142,0.14469028474811396
2.563999999999999,FD,LF,0.705448606650608,0.1446670856137225
2.5649999999999995,FD,LF,0.7053039511736812,0.14464386459606488
2.5659999999999994,FD,LF,0.705159318928697,0.14462062173504325
2.5669999999999993,FD,LF,0.705014709937479,0.1445973570705218
2.567999999999999,FD,LF,0.7048701242218105,0.14457407064232639
2.5689999999999995,FD,LF,0.7047255618034355,0.14455076249024484
2.5699999999999994,FD,LF,0.704581022704058,0.14452743265402693
2.5709999999999993,FD,LF,0.7044365069453422,0.14450408117338426
2.571999999999999,FD,LF,0.7042920145489129,0.14448070808799027
2.5729999999999995,FD,LF,0.7041475455363546,0.14445731343748053
2.5739999999999994,FD,LF,0.7040030999292131,0.1444338972614524
2.5749999999999993,FD,LF,0.7038586777489938,0.14441045959946514
2.575999999999999,FD,LF,0.7037142790171629,0.14438700049104009
2.5769999999999995,FD,LF,0.7035699037551474,0.14436351997566044
2.5779999999999994,FD,LF,0.703425551984334,0.14434001809277147
2.5789999999999993,FD,LF,0.7032812237260712,0.1443164948817804
2.579999999999999,FD,LF,0.7031369190016667,0.14429295038205636
2.5809999999999995,FD,LF,0.7029926378323901,0.1442693846329306
2.5819999999999994,FD,LF,0.702848380239471,0.14424579767369639
2.5829999999999993,FD,LF,0.7027041462440997,0.14422218954360894
2.583999999999999,FD,LF,0.7025599358674277,0.14419856028188555
2.5849999999999995,FD,LF,0.7024157491305667,0.1441749099277056
2.5859999999999994,FD,LF,0.70227158605459,0.1441512385202105
2.5869999999999993,FD,LF,0.7021274466605311,0.14412754609850376
2.587999999999999,FD,LF,0.7019833309693848,0.144103832701651
2.5889999999999995,FD,LF,0.7018392390021064,0.14408009836867985
2.5899999999999994,FD,LF,0.7016951707796131,0.14405634313858012
2.5909999999999993,FD,LF,0.701551126322782,0.14403256705030373
2.591999999999999,FD,LF,0.7014071056524522,0.14400877014276472
2.5929999999999995,FD,LF,0.7012631087894233,0.14398495245483928
2.5939999999999994,FD,LF,0.7011191357544563,0.14396111402536577
2.5949999999999993,FD,LF,0.7009751865682735,0.1439372548931447
2.595999999999999,FD,LF,0.700831261251558,0.1439133750969388
2.5969999999999995,FD,LF,0.7006873598249547,0.1438894746754729
2.5979999999999994,FD,LF,0.7005434823090693,0.14386555366743414
2.5989999999999993,FD,LF,0.7003996287244691,0.14384161211147184
2.599999999999999,FD,LF,0.7002557990916828,0.14381765004619745
2.6009999999999995,FD,LF,0.7001119934312003,0.14379366751018485
2.6019999999999994,FD,LF,0.6999682117634732,0.14376966454197004
2.6029999999999993,FD,LF,0.6998244541089143,0.1437456411800513
2.603999999999999,FD,LF,0.6996807204878982,0.1437215974628892
2.6049999999999995,FD,LF,0.6995370109207608,0.14369753342890657
2.6059999999999994,FD,LF,0.6993933254277999,0.14367344911648866
2.6069999999999993,FD,LF,0.6992496640292745,0.14364934456398287
2.607999999999999,FD,LF,0.6991060267454058,0.14362521980969906
2.6089999999999995,FD,LF,0.6989624135963762,0.14360107489190926
2.6099999999999994,FD,LF,0.6988188246023304,0.1435769098488481
2.6109999999999993,FD,LF,0.6986752597833743,0.1435527247187124
2.611999999999999,FD,LF,0.698531719159576,0.14352851953966128
2.6129999999999995,FD,LF,0.6983882027509651,0.14350429434981649
2.6139999999999994,FD,LF,0.6982447105775338,0.14348004918726198
2.6149999999999993,FD,LF,0.6981012426592356,0.14345578409004422
2.615999999999999,FD,LF,0.697957799015986,0.1434314990961721
2.6169999999999995,FD,LF,0.6978143796676628,0.14340719424361686
2.6179999999999994,FD,LF,0.6976709846341056,0.14338286957031227
2.6189999999999993,FD,LF,0.6975276139351165,0.14335852511415462
2.619999999999999,FD,LF,0.697384267590459,0.14333416091300255
2.6209999999999996,FD,LF,0.6972409456198594,0.14330977700467729
2.6219999999999994,FD,LF,0.6970976480430062,0.14328537342696254
2.6229999999999993,FD,LF,0.6969543748795495,0.1432609502176045
2.623999999999999,FD,LF,0.6968111261491022,0.14323650741431196
2.6249999999999996,FD,LF,0.6966679018712396,0.14321204505475615
2.6259999999999994,FD,LF,0.696524702065499,0.143187563176571
2.6269999999999993,FD,LF,0.6963815267513801,0.14316306181735297
2.6279999999999992,FD,LF,0.6962383759483455,0.14313854101466097
2.6289999999999996,FD,LF,0.6960952496758194,0.14311400080601666
2.6299999999999994,FD,LF,0.6959521479531895,0.14308944122890432
2.6309999999999993,FD,LF,0.6958090707998053,0.14306486232077076
2.6319999999999992,FD,LF,0.6956660182349792,0.14304026411902548
2.6329999999999996,FD,LF,0.695522990277986,0.1430156466610406
2.6339999999999995,FD,LF,0.6953799869480634,0.14299100998415099
2.6349999999999993,FD,LF,0.6952370082644117,0.14296635412565412
2.6359999999999992,FD,LF,0.6950940542461935,0.1429416791228102
2.6369999999999996,FD,LF,0.694951124912535,0.1429169850128421
2.6379999999999995,FD,LF,0.6948082202825245,0.14289227183293546
2.6389999999999993,FD,LF,0.6946653403752134,0.14286753962023863
2.6399999999999992,FD,LF,0.6945224852096159,0.14284278841186276
